Origin,Destination,Distance_km,Carrier,Weather,Traffic,Month,Is_Festival_Season,Delayed,Delay_Hours
Jaipur,Lucknow,2168,Blue Dart,Clear,High,4,0,0,0.0
Chennai,Ahmedabad,1869,Delhivery,Rain,High,4,0,0,0.0
Delhi,Mumbai,1217,Shadowfax,Clear,High,7,0,0,0.0
Bangalore,Pune,1496,Xpressbees,Heavy Rain (Monsoon),High,12,0,1,6.32
Pune,Kolkata,1148,Shadowfax,Storm,Low,1,0,0,0.0
Delhi,Pune,1677,India Post,Clear,High,3,0,0,0.0
Bangalore,Ahmedabad,1541,Shadowfax,Storm,High,8,0,0,0.0
Lucknow,Pune,374,DTDC,Clear,Medium,4,0,0,0.0
Ahmedabad,Mumbai,1750,Blue Dart,Rain,Jam (Gridlock),3,0,1,5.75
Hyderabad,Mumbai,59,India Post,Clear,High,10,1,1,33.83
Chennai,Kolkata,1325,Shadowfax,Storm,High,5,0,0,0.0
Kolkata,Hyderabad,1019,Delhivery,Rain,Medium,2,0,1,1.01
Mumbai,Ahmedabad,669,India Post,Rain,Jam (Gridlock),6,0,0,0.0
Kolkata,Chennai,2167,Xpressbees,Clear,Medium,5,0,0,0.0
Lucknow,Pune,1857,India Post,Storm,Low,11,1,0,0.0
Chennai,Lucknow,2292,Shadowfax,Clear,Medium,3,0,0,0.0
Kolkata,Mumbai,2242,Blue Dart,Clear,Medium,5,0,0,0.0
Kolkata,Jaipur,1871,Shadowfax,Clear,Low,2,0,0,0.0
Mumbai,Chennai,1320,Blue Dart,Heavy Rain (Monsoon),High,8,0,0,0.0
Delhi,Kolkata,2450,Xpressbees,Heavy Rain (Monsoon),Medium,9,0,0,0.0
Hyderabad,Kolkata,1114,Ecom Express,Fog,Low,7,0,0,0.0
Bangalore,Chennai,2420,Ecom Express,Rain,Medium,9,0,0,0.0
Kolkata,Chennai,1302,Xpressbees,Clear,Low,2,0,0,0.0
Mumbai,Kolkata,1606,Ecom Express,Clear,Medium,5,0,0,0.0
Delhi,Kolkata,1112,DTDC,Rain,Medium,7,0,0,0.0
Chennai,Delhi,1224,Delhivery,Clear,Medium,7,0,0,0.0
Delhi,Jaipur,354,DTDC,Clear,Medium,11,1,0,0.0
Pune,Ahmedabad,878,Delhivery,Clear,Medium,5,0,0,0.0
Jaipur,Hyderabad,1461,Blue Dart,Fog,Jam (Gridlock),12,0,0,0.0
Chennai,Kolkata,734,Blue Dart,Heavy Rain (Monsoon),Medium,6,0,1,14.84
Delhi,Kolkata,878,India Post,Clear,High,10,1,0,0.0
Kolkata,Pune,62,Shadowfax,Storm,Low,1,0,0,0.0
Hyderabad,Chennai,398,Xpressbees,Heavy Rain (Monsoon),Low,3,0,0,0.0
Hyderabad,Mumbai,66,Ecom Express,Clear,Medium,3,0,0,0.0
Kolkata,Ahmedabad,2026,India Post,Rain,Low,7,0,1,3.57
Jaipur,Kolkata,1994,India Post,Fog,Low,2,0,0,0.0
Bangalore,Ahmedabad,1017,India Post,Clear,Jam (Gridlock),7,0,0,0.0
Hyderabad,Kolkata,2099,Blue Dart,Clear,Medium,12,0,0,0.0
Pune,Ahmedabad,1759,Delhivery,Storm,Low,12,0,0,0.0
Ahmedabad,Chennai,749,DTDC,Rain,Low,9,0,0,0.0
Hyderabad,Jaipur,164,Blue Dart,Heavy Rain (Monsoon),Medium,11,1,0,0.0
Hyderabad,Kolkata,1745,India Post,Clear,Medium,10,1,1,22.02
Mumbai,Ahmedabad,237,India Post,Clear,High,3,0,0,0.0
Pune,Chennai,364,Delhivery,Clear,High,3,0,0,0.0
Ahmedabad,Mumbai,2342,Xpressbees,Clear,High,7,0,0,0.0
Hyderabad,Bangalore,578,Xpressbees,Clear,High,11,1,0,0.0
Pune,Kolkata,1026,Delhivery,Clear,Medium,2,0,0,0.0
Lucknow,Delhi,1413,Blue Dart,Clear,Medium,1,0,0,0.0
Hyderabad,Pune,378,Shadowfax,Clear,Medium,7,0,0,0.0
Chennai,Kolkata,1589,Ecom Express,Clear,Low,3,0,0,0.0
Jaipur,Bangalore,561,Xpressbees,Storm,Medium,8,0,0,0.0
Jaipur,Hyderabad,814,Ecom Express,Storm,Medium,10,1,0,0.0
Mumbai,Hyderabad,517,Delhivery,Clear,High,6,0,0,0.0
Mumbai,Jaipur,137,Xpressbees,Heavy Rain (Monsoon),High,6,0,0,0.0
Jaipur,Ahmedabad,2065,Xpressbees,Fog,Medium,2,0,0,0.0
Jaipur,Pune,2264,Ecom Express,Clear,Medium,2,0,0,0.0
Bangalore,Chennai,1701,Blue Dart,Clear,Medium,12,0,0,0.0
Ahmedabad,Hyderabad,619,DTDC,Clear,Medium,4,0,0,0.0
Pune,Kolkata,1578,Xpressbees,Fog,Medium,1,0,0,0.0
Pune,Ahmedabad,1238,DTDC,Heavy Rain (Monsoon),Medium,9,0,1,5.21
Chennai,Delhi,1889,Ecom Express,Fog,High,12,0,1,7.64
Chennai,Delhi,948,India Post,Rain,High,3,0,0,0.0
Pune,Hyderabad,2441,Delhivery,Clear,Low,3,0,0,0.0
Lucknow,Chennai,2404,Ecom Express,Clear,Low,4,0,0,0.0
Delhi,Lucknow,807,Blue Dart,Clear,Medium,8,0,1,0.0
Jaipur,Ahmedabad,1144,Xpressbees,Storm,Low,9,0,0,0.0
Chennai,Mumbai,136,Xpressbees,Fog,Jam (Gridlock),1,0,1,3.96
Bangalore,Mumbai,1695,Delhivery,Clear,Jam (Gridlock),4,0,0,0.0
Delhi,Kolkata,2177,India Post,Heavy Rain (Monsoon),Medium,6,0,0,0.0
Bangalore,Kolkata,1363,Delhivery,Clear,Medium,2,0,0,0.0
Mumbai,Ahmedabad,2241,DTDC,Clear,Jam (Gridlock),11,1,1,16.61
Ahmedabad,Pune,855,India Post,Clear,Low,5,0,0,0.0
Ahmedabad,Kolkata,1464,Blue Dart,Heavy Rain (Monsoon),Medium,7,0,1,23.95
Chennai,Hyderabad,1391,Shadowfax,Clear,Low,3,0,0,0.0
Mumbai,Chennai,829,Blue Dart,Clear,Medium,2,0,0,0.0
Jaipur,Hyderabad,2420,Ecom Express,Fog,Medium,12,0,0,0.0
Pune,Jaipur,314,Shadowfax,Clear,High,2,0,0,0.0
Hyderabad,Kolkata,1262,Delhivery,Clear,High,2,0,0,0.0
Lucknow,Delhi,366,India Post,Storm,High,10,1,0,0.0
Pune,Chennai,792,Xpressbees,Clear,Low,11,1,1,25.56
Ahmedabad,Hyderabad,1766,DTDC,Rain,Jam (Gridlock),9,0,1,8.09
Kolkata,Hyderabad,1251,Blue Dart,Clear,Low,1,0,0,0.0
Mumbai,Ahmedabad,2175,Shadowfax,Rain,Medium,9,0,1,2.79
Jaipur,Delhi,197,Delhivery,Clear,Medium,3,0,0,0.0
Kolkata,Jaipur,815,Ecom Express,Clear,Low,4,0,1,0.0
Delhi,Bangalore,535,Xpressbees,Heavy Rain (Monsoon),Jam (Gridlock),9,0,1,19.76
Mumbai,Delhi,1657,Delhivery,Clear,Medium,12,0,0,0.0
Chennai,Jaipur,1661,Xpressbees,Storm,Low,3,0,1,0.0
Pune,Kolkata,2073,Delhivery,Heavy Rain (Monsoon),Medium,1,0,0,0.0
Hyderabad,Lucknow,2459,Xpressbees,Clear,Medium,11,1,1,20.57
Bangalore,Lucknow,849,Shadowfax,Clear,High,4,0,0,0.0
Jaipur,Chennai,1475,Blue Dart,Rain,High,7,0,0,0.0
Mumbai,Jaipur,2124,Ecom Express,Clear,Medium,1,0,0,0.0
Lucknow,Pune,1180,Xpressbees,Heavy Rain (Monsoon),Medium,12,0,1,6.64
Hyderabad,Jaipur,159,Ecom Express,Clear,Low,8,0,0,0.0
Pune,Chennai,895,India Post,Rain,Medium,4,0,0,0.0
Bangalore,Mumbai,1827,Delhivery,Clear,Medium,4,0,0,0.0
Ahmedabad,Pune,1467,Ecom Express,Clear,Medium,2,0,0,0.0
Ahmedabad,Hyderabad,296,Ecom Express,Storm,Medium,8,0,0,0.0
Delhi,Bangalore,1672,Shadowfax,Heavy Rain (Monsoon),Medium,6,0,1,8.94
Lucknow,Ahmedabad,2236,Shadowfax,Clear,High,9,0,0,0.0
Chennai,Ahmedabad,641,Delhivery,Clear,High,7,0,0,0.0
Ahmedabad,Bangalore,168,Delhivery,Clear,Medium,12,0,0,0.0
Pune,Kolkata,1199,Shadowfax,Clear,Medium,4,0,0,0.0
Kolkata,Ahmedabad,1554,Xpressbees,Clear,Low,4,0,0,0.0
Hyderabad,Pune,299,Ecom Express,Clear,Low,1,0,0,0.0
Chennai,Ahmedabad,1411,Shadowfax,Clear,Low,4,0,0,0.0
Ahmedabad,Hyderabad,1863,Blue Dart,Clear,Medium,12,0,0,0.0
Delhi,Pune,522,Delhivery,Clear,Medium,2,0,0,0.0
Ahmedabad,Hyderabad,850,Xpressbees,Clear,Low,3,0,0,0.0
Hyderabad,Delhi,2117,Blue Dart,Clear,Low,2,0,0,0.0
Chennai,Delhi,1908,Xpressbees,Rain,High,3,0,0,0.0
Hyderabad,Ahmedabad,1218,Shadowfax,Heavy Rain (Monsoon),Low,9,0,1,8.44
Pune,Bangalore,402,India Post,Rain,High,8,0,0,0.0
Pune,Jaipur,2132,India Post,Rain,Medium,8,0,1,3.14
Ahmedabad,Bangalore,1223,Shadowfax,Clear,Medium,2,0,0,0.0
Lucknow,Delhi,2469,Delhivery,Clear,Jam (Gridlock),11,1,1,27.97
Mumbai,Hyderabad,1506,India Post,Clear,Medium,5,0,0,0.0
Jaipur,Ahmedabad,78,Blue Dart,Clear,Low,10,1,0,0.0
Kolkata,Bangalore,1020,Ecom Express,Clear,Low,3,0,0,0.0
Hyderabad,Chennai,317,Delhivery,Rain,Medium,8,0,0,0.0
Kolkata,Ahmedabad,1124,DTDC,Clear,High,3,0,0,0.0
Pune,Jaipur,1284,Shadowfax,Clear,Low,3,0,0,0.0
Hyderabad,Lucknow,698,Blue Dart,Clear,Medium,2,0,0,0.0
Jaipur,Pune,694,Xpressbees,Clear,Medium,9,0,1,0.0
Delhi,Mumbai,2275,Blue Dart,Clear,High,4,0,0,0.0
Delhi,Chennai,58,DTDC,Rain,Medium,9,0,0,0.0
Hyderabad,Jaipur,1013,DTDC,Rain,Low,3,0,0,0.0
Hyderabad,Chennai,1029,India Post,Clear,Jam (Gridlock),10,1,0,0.0
Chennai,Delhi,1074,India Post,Rain,Jam (Gridlock),8,0,1,5.88
Ahmedabad,Lucknow,1463,Blue Dart,Rain,Medium,4,0,0,0.0
Mumbai,Ahmedabad,1764,DTDC,Clear,High,10,1,1,17.22
Pune,Chennai,176,India Post,Clear,Low,3,0,0,0.0
Jaipur,Bangalore,2344,Blue Dart,Heavy Rain (Monsoon),Medium,6,0,0,0.0
Delhi,Ahmedabad,1689,Delhivery,Clear,Low,9,0,0,0.0
Hyderabad,Bangalore,234,DTDC,Clear,Medium,3,0,0,0.0
Chennai,Delhi,2251,DTDC,Clear,Medium,3,0,0,0.0
Pune,Kolkata,2257,Blue Dart,Clear,High,8,0,0,0.0
Pune,Ahmedabad,491,Delhivery,Clear,High,1,0,0,0.0
Pune,Delhi,458,Delhivery,Rain,High,4,0,1,3.52
Lucknow,Mumbai,1641,Blue Dart,Clear,Medium,7,0,0,0.0
Hyderabad,Delhi,1556,DTDC,Clear,High,7,0,0,0.0
Bangalore,Jaipur,1137,Delhivery,Heavy Rain (Monsoon),High,12,0,1,6.59
Kolkata,Chennai,675,Delhivery,Clear,Medium,12,0,0,0.0
Hyderabad,Chennai,1573,Shadowfax,Clear,Low,1,0,0,0.0
Hyderabad,Kolkata,848,Delhivery,Heavy Rain (Monsoon),Medium,1,0,0,0.0
Chennai,Lucknow,572,Ecom Express,Heavy Rain (Monsoon),Low,8,0,0,0.0
Lucknow,Pune,541,Shadowfax,Clear,High,1,0,0,0.0
