Origin,Destination,Distance_km,Carrier,Shipment_Type,Service_Level,Mode,Priority,Package_Weight_kg,Promised_SLA_Hours,Weather,Traffic,Month,Is_Festival_Season,Delayed,Delay_Hours
Lucknow,Ahmedabad,759,Blue Dart,B2B,Standard,Road,High,6.5,48,Rain,Medium,8,0,1,3.16
Bangalore,Kolkata,131,Blue Dart,B2C,Express,Air,Normal,36.8,24,Clear,High,2,0,0,0.0
Delhi,Mumbai,262,Blue Dart,B2B,Same Day,Air,Normal,21.27,12,Clear,High,9,0,0,0.0
Jaipur,Pune,951,DTDC,B2C,Standard,Air,High,21.62,96,Rain,High,7,0,0,0.0
Delhi,Mumbai,469,Delhivery,B2C,Express,Road,High,27.5,24,Rain,High,2,0,0,0.0
Pune,Hyderabad,826,DTDC,B2C,Standard,Road,High,27.31,72,Rain,High,5,0,1,15.67
Delhi,Lucknow,54,Xpressbees,B2C,Standard,Air,Normal,9.42,72,Clear,High,11,1,0,0.0
Hyderabad,Bangalore,612,Ecom Express,B2C,Same Day,Road,Normal,19.41,12,Clear,Low,2,0,0,0.0
Kolkata,Ahmedabad,755,Delhivery,B2B,Same Day,Road,Normal,37.84,12,Clear,Low,11,1,0,0.0
Delhi,Jaipur,2005,Xpressbees,B2B,Same Day,Road,High,11.83,12,Clear,High,8,0,0,0.0
Delhi,Jaipur,2392,Blue Dart,B2C,Same Day,Air,Normal,10.75,8,Clear,Medium,3,0,0,0.0
Chennai,Lucknow,1113,Blue Dart,B2B,Same Day,Road,High,10.61,8,Clear,Medium,5,0,0,0.0
Ahmedabad,Hyderabad,982,Shadowfax,B2B,Standard,Road,Normal,1.52,96,Clear,Medium,11,1,0,0.0
Delhi,Jaipur,236,Ecom Express,B2C,Same Day,Air,Normal,20.36,12,Heavy Rain (Monsoon),Low,11,1,1,18.0
Mumbai,Bangalore,1464,India Post,B2C,Express,Air,High,9.06,36,Fog,Medium,8,0,0,0.0
Ahmedabad,Hyderabad,1027,DTDC,B2B,Same Day,Road,High,25.83,8,Heavy Rain (Monsoon),Jam (Gridlock),4,0,1,12.0
Jaipur,Kolkata,215,India Post,B2C,Express,Air,Normal,32.14,36,Heavy Rain (Monsoon),Medium,9,0,1,14.4
Jaipur,Mumbai,1754,Xpressbees,B2B,Express,Road,Normal,10.25,36,Clear,High,3,0,0,0.0
Kolkata,Jaipur,1020,DTDC,B2B,Same Day,Road,High,15.76,12,Clear,Low,9,0,0,0.0
Lucknow,Mumbai,2069,Xpressbees,B2B,Standard,Road,Normal,16.53,96,Fog,Medium,10,1,1,30.46
Delhi,Bangalore,1234,Shadowfax,B2C,Same Day,Air,Normal,19.27,8,Clear,High,11,1,1,12.0
Mumbai,Hyderabad,643,Ecom Express,B2B,Express,Road,High,21.68,24,Clear,Medium,6,0,0,0.0
Lucknow,Ahmedabad,1234,Delhivery,B2C,Express,Air,High,1.01,36,Clear,Low,6,0,0,0.0
Jaipur,Ahmedabad,1300,Delhivery,B2B,Standard,Air,Normal,1.95,72,Storm,Low,3,0,0,0.0
Kolkata,Delhi,1951,Ecom Express,B2C,Same Day,Air,High,2.05,12,Clear,High,1,0,0,0.0
Delhi,Kolkata,554,Delhivery,B2C,Same Day,Road,High,3.92,8,Rain,Jam (Gridlock),6,0,1,6.55
Ahmedabad,Kolkata,59,DTDC,B2B,Standard,Road,High,20.32,72,Clear,Low,6,0,0,0.0
Pune,Lucknow,169,Ecom Express,B2B,Standard,Air,High,3.62,48,Clear,Medium,12,0,0,0.0
Delhi,Kolkata,95,Xpressbees,B2B,Express,Road,High,12.59,36,Clear,High,5,0,0,0.0
Chennai,Bangalore,205,India Post,B2B,Standard,Road,High,28.97,72,Fog,Medium,1,0,0,0.0
Lucknow,Pune,2308,Blue Dart,B2B,Express,Road,Normal,5.92,24,Clear,Low,7,0,1,11.61
Lucknow,Mumbai,1887,DTDC,B2B,Express,Air,Normal,21.26,24,Fog,High,8,0,0,0.0
Lucknow,Hyderabad,2212,Shadowfax,B2B,Same Day,Air,Normal,16.62,12,Clear,Jam (Gridlock),10,1,0,0.0
Hyderabad,Chennai,178,DTDC,B2B,Same Day,Road,High,11.24,12,Clear,Medium,6,0,0,0.0
Kolkata,Chennai,2112,Delhivery,B2C,Express,Air,High,4.68,24,Rain,Medium,6,0,0,0.0
Ahmedabad,Bangalore,584,Xpressbees,B2C,Standard,Air,Normal,8.73,72,Rain,High,8,0,0,0.0
Ahmedabad,Lucknow,748,Delhivery,B2C,Express,Road,High,20.23,36,Fog,High,1,0,0,0.0
Chennai,Bangalore,1631,Shadowfax,B2C,Standard,Road,High,3.05,72,Clear,Medium,2,0,0,0.0
Mumbai,Bangalore,62,Shadowfax,B2C,Express,Air,High,8.49,24,Clear,High,2,0,0,0.0
Lucknow,Pune,1798,Shadowfax,B2B,Standard,Road,High,18.34,72,Clear,Low,11,1,0,0.0
Jaipur,Mumbai,897,Shadowfax,B2C,Same Day,Road,Normal,9.2,8,Clear,Jam (Gridlock),4,0,1,7.36
Lucknow,Mumbai,872,Ecom Express,B2B,Standard,Road,Normal,6.55,72,Clear,Medium,5,0,1,11.91
Delhi,Jaipur,1605,Delhivery,B2B,Express,Air,Normal,24.34,24,Clear,High,2,0,0,0.0
Kolkata,Chennai,913,Delhivery,B2B,Same Day,Air,Normal,4.31,8,Storm,Medium,6,0,0,0.0
Lucknow,Chennai,1059,India Post,B2C,Standard,Road,Normal,29.18,96,Clear,Medium,4,0,0,0.0
Jaipur,Pune,2183,India Post,B2B,Express,Road,High,8.3,24,Clear,Low,3,0,0,0.0
Pune,Delhi,1962,DTDC,B2B,Same Day,Air,High,12.92,12,Clear,High,7,0,0,0.0
Pune,Kolkata,1402,Xpressbees,B2B,Express,Air,Normal,26.31,36,Clear,Medium,3,0,1,3.06
Pune,Delhi,595,Blue Dart,B2C,Express,Road,High,34.21,36,Clear,Medium,5,0,0,0.0
Delhi,Mumbai,1735,DTDC,B2C,Same Day,Road,Normal,21.1,12,Clear,High,5,0,0,0.0
Kolkata,Jaipur,2248,DTDC,B2B,Same Day,Air,Normal,35.28,8,Heavy Rain (Monsoon),Low,9,0,0,0.0
Pune,Chennai,1939,Blue Dart,B2C,Standard,Air,Normal,5.57,72,Clear,Medium,2,0,0,0.0
Ahmedabad,Kolkata,248,India Post,B2B,Same Day,Air,Normal,26.87,12,Heavy Rain (Monsoon),Medium,9,0,1,16.71
Jaipur,Chennai,132,Shadowfax,B2C,Express,Air,Normal,34.05,36,Clear,Medium,12,0,0,0.0
Jaipur,Ahmedabad,534,Blue Dart,B2C,Express,Air,Normal,26.01,36,Clear,Low,2,0,0,0.0
Bangalore,Mumbai,1338,Shadowfax,B2C,Express,Air,High,17.3,36,Clear,Medium,5,0,0,0.0
Mumbai,Lucknow,428,Shadowfax,B2C,Standard,Road,Normal,36.78,72,Clear,High,4,0,0,0.0
Kolkata,Chennai,88,Shadowfax,B2B,Same Day,Road,High,39.85,8,Fog,Jam (Gridlock),9,0,0,0.0
Lucknow,Ahmedabad,995,Blue Dart,B2B,Standard,Air,High,2.26,96,Heavy Rain (Monsoon),Low,1,0,1,16.95
Jaipur,Bangalore,1657,Blue Dart,B2C,Standard,Road,Normal,14.49,96,Clear,Medium,5,0,0,0.0
Bangalore,Jaipur,1207,Shadowfax,B2B,Express,Road,High,16.59,24,Rain,High,10,1,0,0.0
Chennai,Ahmedabad,649,Ecom Express,B2B,Standard,Road,Normal,22.08,72,Clear,Low,9,0,1,1.12
Lucknow,Mumbai,2307,Xpressbees,B2C,Standard,Road,Normal,14.82,72,Clear,High,12,0,0,0.0
Delhi,Jaipur,1593,DTDC,B2B,Express,Air,High,7.79,24,Clear,High,5,0,0,0.0
Jaipur,Ahmedabad,1585,India Post,B2B,Same Day,Air,Normal,28.64,8,Clear,Jam (Gridlock),12,0,1,4.78
Mumbai,Hyderabad,715,Ecom Express,B2B,Express,Air,Normal,8.78,36,Rain,Medium,5,0,1,3.75
Ahmedabad,Mumbai,2371,Ecom Express,B2C,Same Day,Air,Normal,36.62,8,Heavy Rain (Monsoon),High,6,0,1,12.0
Ahmedabad,Hyderabad,2329,Blue Dart,B2C,Standard,Air,High,10.74,48,Heavy Rain (Monsoon),Low,9,0,1,15.43
Hyderabad,Pune,987,Blue Dart,B2C,Express,Air,High,13.52,24,Rain,Low,8,0,1,2.91
Delhi,Jaipur,1012,Xpressbees,B2C,Same Day,Air,High,33.76,8,Clear,Low,8,0,0,0.0
Chennai,Hyderabad,904,India Post,B2B,Standard,Air,Normal,30.7,96,Clear,Low,10,1,0,0.0
Delhi,Pune,1679,India Post,B2C,Same Day,Road,High,6.18,8,Fog,High,1,0,1,12.0
Bangalore,Jaipur,1779,DTDC,B2C,Same Day,Air,High,7.06,12,Heavy Rain (Monsoon),Jam (Gridlock),9,0,1,18.0
Delhi,Chennai,673,Ecom Express,B2B,Standard,Air,Normal,8.83,48,Storm,Low,5,0,1,20.34
Lucknow,Kolkata,2454,Blue Dart,B2C,Same Day,Road,Normal,1.57,8,Fog,Medium,1,0,1,12.0
Chennai,Ahmedabad,2208,Shadowfax,B2C,Standard,Air,High,12.68,72,Fog,Low,4,0,0,0.0
Jaipur,Kolkata,578,Delhivery,B2C,Standard,Air,Normal,18.01,72,Clear,High,1,0,0,0.0
Pune,Ahmedabad,2380,DTDC,B2C,Standard,Air,High,23.32,48,Heavy Rain (Monsoon),Low,7,0,1,12.6
Hyderabad,Bangalore,1711,Xpressbees,B2B,Express,Road,High,0.91,24,Clear,High,7,0,0,0.0
Mumbai,Bangalore,917,Blue Dart,B2B,Same Day,Road,High,19.09,12,Clear,Low,11,1,0,0.0
Bangalore,Jaipur,1164,Delhivery,B2B,Same Day,Road,Normal,13.83,8,Heavy Rain (Monsoon),High,8,0,0,0.0
Ahmedabad,Kolkata,1221,Shadowfax,B2B,Standard,Air,Normal,26.63,72,Fog,Low,1,0,1,4.82
Lucknow,Kolkata,476,Blue Dart,B2C,Same Day,Air,Normal,28.61,12,Clear,Low,8,0,0,0.0
Chennai,Lucknow,1361,Delhivery,B2B,Same Day,Road,High,30.68,8,Clear,Medium,3,0,0,0.0
Pune,Hyderabad,1122,India Post,B2C,Same Day,Road,High,17.97,8,Clear,Low,12,0,0,0.0
Kolkata,Bangalore,702,Delhivery,B2B,Express,Road,High,23.64,24,Rain,High,9,0,1,8.05
Jaipur,Mumbai,1079,Shadowfax,B2B,Express,Air,Normal,14.69,24,Clear,Medium,3,0,0,0.0
Ahmedabad,Jaipur,1894,Blue Dart,B2C,Express,Road,Normal,5.8,36,Clear,Medium,5,0,0,0.0
Delhi,Lucknow,1507,DTDC,B2B,Same Day,Air,Normal,8.29,8,Clear,Medium,11,1,0,0.0
Ahmedabad,Hyderabad,1113,Blue Dart,B2B,Standard,Road,Normal,31.4,72,Clear,Low,2,0,1,10.51
Hyderabad,Chennai,1157,Xpressbees,B2B,Same Day,Air,Normal,5.04,12,Rain,Medium,11,1,0,0.0
Kolkata,Mumbai,1789,Blue Dart,B2C,Same Day,Air,High,37.12,12,Heavy Rain (Monsoon),High,6,0,0,0.0
Hyderabad,Jaipur,87,Blue Dart,B2C,Standard,Road,High,18.45,48,Clear,Low,11,1,1,22.67
Jaipur,Pune,507,Ecom Express,B2B,Standard,Road,Normal,34.19,96,Clear,High,5,0,0,0.0
Lucknow,Mumbai,2055,India Post,B2B,Standard,Road,Normal,14.19,48,Storm,Medium,12,0,1,23.79
Delhi,Hyderabad,1744,Delhivery,B2C,Same Day,Air,High,13.85,8,Clear,High,3,0,0,0.0
Kolkata,Chennai,330,DTDC,B2B,Standard,Air,Normal,9.96,72,Fog,Medium,12,0,0,0.0
Ahmedabad,Mumbai,2449,Shadowfax,B2C,Same Day,Air,High,3.55,8,Clear,High,4,0,0,0.0
Mumbai,Hyderabad,850,Xpressbees,B2C,Same Day,Air,Normal,9.54,12,Rain,High,11,1,1,18.0
Mumbai,Chennai,563,Xpressbees,B2B,Same Day,Road,High,26.45,12,Clear,Jam (Gridlock),3,0,0,0.0
Kolkata,Bangalore,1163,DTDC,B2B,Same Day,Road,High,0.33,8,Rain,High,5,0,0,0.0
Chennai,Lucknow,1885,Xpressbees,B2B,Same Day,Road,Normal,38.17,8,Storm,Low,9,0,0,0.0
Lucknow,Mumbai,2009,Blue Dart,B2C,Same Day,Air,Normal,31.99,12,Fog,High,12,0,0,0.0
Jaipur,Ahmedabad,2272,India Post,B2C,Standard,Air,Normal,4.71,48,Clear,Low,4,0,0,0.0
Ahmedabad,Mumbai,1566,Blue Dart,B2B,Standard,Road,Normal,39.83,48,Clear,High,6,0,0,0.0
Chennai,Pune,297,Ecom Express,B2B,Express,Air,Normal,30.31,36,Rain,Low,5,0,0,0.0
Hyderabad,Lucknow,820,DTDC,B2C,Standard,Road,Normal,11.03,72,Rain,Medium,9,0,0,0.0
Jaipur,Ahmedabad,196,Delhivery,B2C,Same Day,Air,Normal,8.74,8,Rain,Low,1,0,0,0.0
Jaipur,Mumbai,607,Xpressbees,B2B,Express,Air,High,37.41,36,Fog,High,4,0,0,0.0
Delhi,Kolkata,993,India Post,B2B,Standard,Road,High,18.56,96,Clear,High,10,1,0,0.0
Pune,Kolkata,298,Delhivery,B2C,Standard,Road,High,18.9,72,Clear,Low,8,0,0,0.0
Delhi,Kolkata,1690,Xpressbees,B2C,Same Day,Air,Normal,17.48,8,Storm,Medium,2,0,0,0.0
Bangalore,Delhi,1975,Xpressbees,B2C,Same Day,Air,Normal,18.68,8,Fog,High,3,0,0,0.0
Lucknow,Hyderabad,1138,Shadowfax,B2C,Express,Air,High,37.95,36,Clear,Low,5,0,0,0.0
Mumbai,Lucknow,896,DTDC,B2B,Same Day,Road,High,14.99,12,Clear,Low,3,0,0,0.0
Chennai,Kolkata,2098,India Post,B2B,Express,Air,Normal,28.52,24,Rain,Low,5,0,0,0.0
Kolkata,Ahmedabad,1493,India Post,B2C,Same Day,Road,High,12.26,12,Rain,High,7,0,1,14.3
Lucknow,Mumbai,581,Ecom Express,B2C,Standard,Air,High,33.28,72,Clear,High,1,0,0,0.0
Lucknow,Jaipur,345,Delhivery,B2B,Same Day,Road,High,24.54,8,Clear,Low,10,1,0,0.0
Mumbai,Jaipur,883,Shadowfax,B2B,Express,Air,Normal,19.64,36,Rain,High,4,0,1,2.08
Lucknow,Hyderabad,1976,India Post,B2C,Express,Road,High,17.54,36,Clear,High,7,0,1,4.63
Pune,Hyderabad,165,Shadowfax,B2C,Same Day,Air,Normal,22.06,8,Rain,Jam (Gridlock),6,0,1,12.0
Hyderabad,Lucknow,163,Xpressbees,B2C,Express,Air,Normal,12.45,24,Clear,High,2,0,0,0.0
Kolkata,Lucknow,1758,Xpressbees,B2B,Express,Road,High,9.81,36,Heavy Rain (Monsoon),Low,9,0,1,27.98
Chennai,Kolkata,619,DTDC,B2B,Express,Air,Normal,17.62,36,Heavy Rain (Monsoon),Medium,10,1,0,0.0
Bangalore,Jaipur,1152,Delhivery,B2C,Standard,Road,Normal,32.68,48,Heavy Rain (Monsoon),High,6,0,1,31.57
Bangalore,Chennai,2168,DTDC,B2C,Standard,Road,High,8.59,48,Heavy Rain (Monsoon),High,6,0,0,0.0
Jaipur,Hyderabad,619,India Post,B2C,Standard,Air,High,16.25,96,Clear,High,9,0,0,0.0
Ahmedabad,Chennai,1645,Delhivery,B2C,Same Day,Road,Normal,33.45,8,Clear,High,11,1,0,0.0
Chennai,Ahmedabad,1057,Blue Dart,B2C,Same Day,Air,High,29.31,8,Clear,Low,3,0,0,0.0
Pune,Mumbai,2375,Blue Dart,B2B,Express,Road,Normal,30.6,36,Heavy Rain (Monsoon),Low,9,0,0,0.0
Hyderabad,Pune,513,Ecom Express,B2B,Express,Air,High,29.42,36,Storm,Low,3,0,1,22.61
Mumbai,Pune,2307,India Post,B2C,Same Day,Air,High,18.71,12,Storm,Jam (Gridlock),2,0,1,18.0
Ahmedabad,Mumbai,859,Shadowfax,B2C,Same Day,Road,High,11.83,8,Fog,Jam (Gridlock),12,0,1,12.0
Chennai,Kolkata,165,Blue Dart,B2B,Express,Air,Normal,7.95,24,Fog,Medium,6,0,1,7.66
Pune,Jaipur,57,Delhivery,B2C,Standard,Road,High,6.33,48,Heavy Rain (Monsoon),Medium,9,0,0,0.0
Bangalore,Hyderabad,1334,Shadowfax,B2B,Same Day,Air,Normal,35.9,12,Clear,High,1,0,0,0.0
Pune,Jaipur,2331,Xpressbees,B2B,Express,Air,Normal,34.12,36,Clear,Medium,9,0,0,0.0
Pune,Chennai,1549,Xpressbees,B2C,Standard,Air,Normal,12.69,96,Rain,Medium,8,0,0,0.0
Ahmedabad,Hyderabad,2190,Xpressbees,B2C,Same Day,Air,Normal,19.61,8,Clear,Low,4,0,0,0.0
Pune,Hyderabad,689,India Post,B2B,Same Day,Road,High,12.31,12,Rain,Low,7,0,0,0.0
Pune,Hyderabad,2344,Xpressbees,B2C,Same Day,Road,High,1.8,12,Clear,Low,7,0,0,0.0
Jaipur,Hyderabad,1442,Ecom Express,B2C,Same Day,Road,Normal,39.21,8,Clear,Medium,10,1,0,0.0
Ahmedabad,Lucknow,2223,Shadowfax,B2B,Express,Road,High,2.55,24,Clear,Low,4,0,0,0.0
Ahmedabad,Mumbai,1749,Xpressbees,B2B,Standard,Air,Normal,17.88,96,Clear,Medium,12,0,0,0.0
Lucknow,Hyderabad,588,Ecom Express,B2C,Same Day,Road,Normal,25.2,8,Heavy Rain (Monsoon),Low,9,0,1,12.0
Ahmedabad,Jaipur,1952,Delhivery,B2C,Standard,Air,Normal,33.61,48,Storm,Low,3,0,1,18.89
Kolkata,Ahmedabad,1811,Delhivery,B2B,Same Day,Air,High,18.71,8,Heavy Rain (Monsoon),Medium,3,0,1,7.98
Jaipur,Kolkata,2456,Shadowfax,B2B,Express,Road,Normal,15.33,24,Rain,Low,10,1,0,0.0
Hyderabad,Jaipur,1805,Delhivery,B2C,Standard,Road,Normal,36.22,48,Clear,Low,4,0,1,16.54
Bangalore,Ahmedabad,1275,Delhivery,B2C,Same Day,Air,High,6.17,12,Clear,Low,11,1,0,0.0
Ahmedabad,Delhi,1469,Delhivery,B2B,Standard,Road,High,13.08,48,Rain,High,11,1,1,41.36
Hyderabad,Chennai,107,Delhivery,B2C,Express,Road,High,9.22,36,Clear,Medium,5,0,0,0.0
Bangalore,Jaipur,669,Shadowfax,B2B,Same Day,Air,Normal,10.2,12,Storm,High,9,0,1,18.0
Chennai,Mumbai,844,Delhivery,B2C,Standard,Air,Normal,24.01,72,Rain,High,5,0,1,4.81
Hyderabad,Mumbai,268,India Post,B2C,Express,Road,Normal,21.12,36,Rain,High,8,0,0,0.0
Kolkata,Mumbai,1853,Blue Dart,B2B,Same Day,Air,High,32.1,8,Clear,High,10,1,0,0.0
Bangalore,Mumbai,1460,Xpressbees,B2C,Standard,Road,High,4.01,96,Rain,High,9,0,1,10.64
Chennai,Delhi,1465,Delhivery,B2C,Express,Air,High,32.72,36,Heavy Rain (Monsoon),Jam (Gridlock),6,0,0,0.0
Delhi,Pune,1252,India Post,B2B,Express,Air,Normal,30.33,24,Clear,High,10,1,1,22.3
Delhi,Bangalore,434,DTDC,B2B,Express,Air,High,12.46,24,Clear,Low,10,1,1,20.25
Bangalore,Lucknow,1600,DTDC,B2B,Standard,Air,High,29.93,96,Rain,High,9,0,1,3.63
Lucknow,Bangalore,370,India Post,B2C,Same Day,Road,High,26.6,8,Clear,Medium,1,0,0,0.0
Jaipur,Delhi,259,Delhivery,B2C,Standard,Air,Normal,24.75,72,Rain,Medium,8,0,1,5.16
Hyderabad,Kolkata,1533,Shadowfax,B2B,Standard,Air,Normal,0.36,72,Rain,High,9,0,0,0.0
Mumbai,Chennai,418,Blue Dart,B2C,Standard,Road,Normal,28.8,48,Heavy Rain (Monsoon),High,7,0,0,0.0
Kolkata,Delhi,286,Xpressbees,B2B,Standard,Road,High,15.47,48,Fog,High,12,0,1,9.55
Lucknow,Chennai,1799,India Post,B2C,Same Day,Air,Normal,28.12,12,Clear,Medium,5,0,0,0.0
Ahmedabad,Mumbai,1200,Blue Dart,B2B,Express,Air,High,8.87,24,Fog,High,10,1,1,22.2
Lucknow,Kolkata,973,Delhivery,B2B,Standard,Air,Normal,4.36,48,Clear,High,5,0,0,0.0
Jaipur,Pune,546,India Post,B2C,Express,Air,Normal,17.41,24,Clear,Low,5,0,0,0.0
Chennai,Delhi,1892,DTDC,B2B,Standard,Air,High,14.13,72,Rain,High,6,0,0,0.0
Hyderabad,Jaipur,846,Shadowfax,B2B,Standard,Road,High,6.75,96,Clear,Low,5,0,1,5.37
Kolkata,Bangalore,890,Shadowfax,B2C,Same Day,Air,Normal,23.51,12,Clear,Low,10,1,0,0.0
Pune,Lucknow,2202,Shadowfax,B2B,Standard,Road,High,30.32,48,Heavy Rain (Monsoon),Low,5,0,0,0.0
Jaipur,Hyderabad,1720,DTDC,B2C,Same Day,Air,Normal,12.19,8,Clear,Low,9,0,0,0.0
Jaipur,Pune,456,Xpressbees,B2B,Standard,Air,High,26.44,48,Clear,Low,8,0,0,0.0
Pune,Kolkata,1334,India Post,B2C,Express,Road,Normal,11.8,36,Storm,Low,11,1,1,35.95
Chennai,Bangalore,2073,Delhivery,B2B,Standard,Road,Normal,10.29,96,Storm,Low,3,0,0,0.0
Delhi,Chennai,2161,DTDC,B2B,Standard,Road,High,35.16,48,Clear,Medium,7,0,0,0.0
Pune,Chennai,1711,DTDC,B2C,Standard,Air,Normal,36.61,72,Storm,Low,11,1,1,46.53
Mumbai,Delhi,409,India Post,B2B,Standard,Road,High,26.53,48,Heavy Rain (Monsoon),High,9,0,0,0.0
Lucknow,Pune,1641,Shadowfax,B2B,Standard,Road,Normal,36.04,48,Clear,Medium,5,0,1,12.73
Jaipur,Kolkata,2384,Ecom Express,B2C,Standard,Road,High,29.14,96,Clear,High,5,0,0,0.0
Mumbai,Hyderabad,1673,Ecom Express,B2C,Express,Road,Normal,27.47,36,Clear,Medium,8,0,0,0.0
Delhi,Bangalore,285,India Post,B2C,Same Day,Air,High,34.42,12,Rain,Jam (Gridlock),11,1,1,18.0
Jaipur,Chennai,1430,India Post,B2B,Standard,Air,High,16.57,48,Fog,Medium,8,0,0,0.0
Bangalore,Delhi,1489,Shadowfax,B2C,Standard,Road,High,32.44,48,Clear,High,3,0,0,0.0
Jaipur,Kolkata,57,Ecom Express,B2B,Standard,Road,Normal,30.49,72,Clear,Medium,11,1,0,0.0
Lucknow,Jaipur,391,DTDC,B2C,Same Day,Air,Normal,28.51,8,Clear,Low,12,0,1,1.71
Bangalore,Ahmedabad,468,Shadowfax,B2C,Standard,Road,Normal,7.16,48,Clear,High,1,0,0,0.0
Jaipur,Mumbai,1399,Delhivery,B2B,Same Day,Air,High,13.93,8,Rain,Jam (Gridlock),9,0,1,6.09
Kolkata,Mumbai,2070,Delhivery,B2B,Express,Road,Normal,17.09,24,Clear,Medium,5,0,0,0.0
Bangalore,Pune,2240,Ecom Express,B2B,Express,Air,Normal,14.8,24,Clear,High,7,0,0,0.0
Delhi,Bangalore,2213,Ecom Express,B2B,Express,Air,High,29.33,24,Clear,Jam (Gridlock),3,0,1,6.29
Delhi,Bangalore,1730,Xpressbees,B2B,Express,Air,Normal,15.28,36,Storm,High,4,0,1,15.37
Mumbai,Pune,2106,Shadowfax,B2B,Same Day,Road,High,26.59,8,Clear,Medium,6,0,0,0.0
Ahmedabad,Hyderabad,1993,Ecom Express,B2B,Same Day,Air,Normal,7.96,12,Heavy Rain (Monsoon),Low,5,0,1,17.83
Kolkata,Jaipur,2440,Shadowfax,B2B,Standard,Road,High,37.57,96,Heavy Rain (Monsoon),Medium,5,0,1,21.78
Jaipur,Ahmedabad,2136,Ecom Express,B2B,Express,Air,Normal,3.33,24,Rain,Low,2,0,0,0.0
Chennai,Jaipur,414,DTDC,B2C,Express,Air,Normal,0.37,24,Clear,Medium,3,0,0,0.0
Lucknow,Hyderabad,1085,DTDC,B2C,Standard,Air,High,7.36,72,Fog,Low,1,0,1,9.68
Pune,Kolkata,257,Blue Dart,B2C,Same Day,Road,Normal,4.54,8,Rain,Low,9,0,1,3.98
Hyderabad,Mumbai,1271,Ecom Express,B2C,Same Day,Air,High,8.0,12,Clear,Medium,11,1,0,0.0
Kolkata,Pune,309,Xpressbees,B2B,Standard,Road,High,8.11,48,Heavy Rain (Monsoon),Medium,2,0,0,0.0
Jaipur,Bangalore,1664,Blue Dart,B2C,Same Day,Road,Normal,37.34,8,Fog,Jam (Gridlock),1,0,1,12.0
Kolkata,Bangalore,1322,India Post,B2C,Standard,Road,High,33.14,48,Clear,High,3,0,0,0.0
Pune,Hyderabad,292,DTDC,B2C,Same Day,Air,Normal,9.56,8,Heavy Rain (Monsoon),Low,7,0,0,0.0
Bangalore,Jaipur,115,DTDC,B2C,Standard,Air,High,37.8,72,Fog,Low,1,0,1,12.39
Ahmedabad,Bangalore,946,India Post,B2B,Same Day,Air,Normal,38.53,12,Clear,High,12,0,0,0.0
Ahmedabad,Delhi,1310,Blue Dart,B2C,Standard,Road,High,13.89,48,Clear,Medium,11,1,0,0.0
Pune,Delhi,513,Ecom Express,B2B,Express,Air,Normal,15.63,36,Clear,High,3,0,0,0.0
Mumbai,Kolkata,2442,Xpressbees,B2C,Standard,Road,High,7.65,48,Clear,High,10,1,1,20.74
Mumbai,Lucknow,1535,Ecom Express,B2C,Same Day,Road,Normal,29.88,8,Rain,High,7,0,1,12.0
Bangalore,Ahmedabad,787,Xpressbees,B2B,Express,Road,High,29.42,24,Clear,High,10,1,0,0.0
Pune,Lucknow,2289,Blue Dart,B2C,Standard,Road,Normal,15.59,72,Fog,Low,10,1,0,0.0
